Match_no,Date,Team1,Team2,Venue,Winning_team,Player_of_match,Player_of_match_total_impact,Top_scorer,Top_scorer_runs
46th Match ,2026-05-03,PBKS,GT,"Narendra Modi Stadium, Ahmedabad",GT ,Jason Holder,80.21,Suryansh Shedge,57.0
47th Match ,2026-05-04,LSG,MI,"Wankhede Stadium, Mumbai",MI ,Ryan Rickelton,118.62,Rohit Sharma,84.0
48th Match ,2026-05-05,DC,CSK,"Arun Jaitley Stadium, Delhi",CSK ,Sanju Samson,105.96,Sanju Samson,87.0
49th Match ,2026-05-06,SRH,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH ,Nitish Kumar Reddy,63.73,Cooper Connolly,107.0
50th Match ,2026-05-07,LSG,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG ,Mitchell Marsh,138.35,Mitchell Marsh,111.0
51st Match ,2026-05-08,DC,KKR,"Arun Jaitley Stadium, Delhi",KKR ,Finn Allen,116.97,Finn Allen,100.0
52nd Match ,2026-05-09,GT,RR,"Sawai Mansingh Stadium, Jaipur",GT ,Shubman Gill,87.99,Shubman Gill,84.0
53rd Match ,2026-05-10,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",CSK ,Urvil Patel,100.39,Josh Inglis,85.0
54th Match ,2026-05-10,MI,RCB,"Shaheed Veer Narayan Singh International Stadium, Raipur",RCB ,Bhuvneshwar Kumar,144.46,Krunal Pandya,73.0
55th Match ,2026-05-11,PBKS,DC,"Himachal Pradesh Cricket Association Stadium, Dharamsala",DC ,Madhav Tiwari,82.04,Shreyas Iyer,59.0
56th Match ,2026-05-12,GT,SRH,"Narendra Modi Stadium, Ahmedabad",GT ,Sai Sudharsan,77.07,Sai Sudharsan,61.0
57th Match ,2026-05-13,KKR,RCB,"Shaheed Veer Narayan Singh International Stadium, Raipur",RCB ,Virat Kohli,111.45,Virat Kohli,105.0
58th Match ,2026-05-14,PBKS,MI,"Himachal Pradesh Cricket Association Stadium, Dharamsala",MI ,Tilak Varma,105.19,Tilak Varma,75.0
59th Match ,2026-05-15,CSK,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG ,Mitchell Marsh,127.88,Mitchell Marsh,90.0
60th Match ,2026-05-16,KKR,GT,"Eden Gardens, Kolkata",KKR ,Finn Allen,129.22,Finn Allen,93.0
61st Match ,2026-05-17,RCB,PBKS,"Himachal Pradesh Cricket Association Stadium, Dharamsala",RCB ,Bhuvneshwar Kumar,66.45,Venkatesh Iyer,73.0
62nd Match ,2026-05-17,RR,DC,"Arun Jaitley Stadium, Delhi",DC ,Mitchell Starc,98.13,KL Rahul,56.0
63rd Match ,2026-05-18,CSK,SRH,"MA Chidambaram Stadium, Chepauk, Chennai",SRH ,Pat Cummins,103.14,Ishan Kishan,70.0
64th Match ,2026-05-19,LSG,RR,"Sawai Mansingh Stadium, Jaipur",RR ,Vaibhav Sooryavanshi,124.44,Mitchell Marsh,96.0
65th Match ,2026-05-20,MI,KKR,"Eden Gardens, Kolkata",KKR ,Cameron Green,54.72,Manish Pandey,45.0
66th Match ,2026-05-21,GT,CSK,"Narendra Modi Stadium, Ahmedabad",GT ,Mohammed Siraj,69.54,Sai Sudharsan,84.0
67th Match ,2026-05-22,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH ,Abhishek Sharma,94.53,Ishan Kishan,79.0
68th Match ,2026-05-23,LSG,PBKS,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PBKS ,Shreyas Iyer,96.42,Shreyas Iyer,101.0
69th Match ,2026-05-24,RR,MI,"Wankhede Stadium, Mumbai",RR ,Jofra Archer,140.19,Suryakumar Yadav,60.0
70th Match ,2026-05-24,DC,KKR,"Eden Gardens, Kolkata",DC ,Kuldeep Yadav,91.99,Ajinkya Rahane,63.0
Qualifier 1 ,2026-05-26,RCB,GT,"Himachal Pradesh Cricket Association Stadium, Dharamsala",RCB ,Rajat Patidar,110.94,Rajat Patidar,93.0
Eliminator ,2026-05-27,RR,SRH,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",RR ,Vaibhav Sooryavanshi,198.38,Vaibhav Sooryavanshi,97.0
Qualifier 2 ,2026-05-29,RR,GT,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",GT ,Shubman Gill,109.62,Shubman Gill,104.0
Final ,2026-05-31,GT,RCB,"Narendra Modi Stadium, Ahmedabad",RCB ,Virat Kohli,91.76,Virat Kohli,75.0
